學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
102學年,醫藥衛生學門,5765,2713,3052,1165,840,325,1401,803,598,1472,748,724,1162,219,943,535,102,433,30,1,29
102學年,社會服務學門,840,284,556,82,37,45,213,77,136,349,124,225,175,38,137,21,8,13,-,-,-
102學年,民生學門,3544,2110,1434,335,279,56,923,597,326,1197,701,496,725,291,434,363,242,121,1,-,1
102學年,運輸服務學門,277,225,52,51,47,4,105,86,19,88,67,21,22,16,6,6,6,-,5,3,2
102學年,環境保護學門,93,66,27,24,19,5,40,31,9,24,12,12,5,4,1,-,-,-,-,-,-
102學年,軍警國防安全學門,16,15,1,2,2,-,7,7,-,4,4,-,3,2,1,-,-,-,-,-,-
102學年,其他學門,4860,2567,2293,356,268,88,975,559,416,821,456,365,1367,606,761,1243,659,584,98,19,79
101學年,總計,50158,32757,17401,10907,8846,2061,14910,10301,4609,13960,8812,5148,7621,3519,4102,2404,1196,1208,356,83,273
101學年,教育學門,1577,765,812,541,324,217,575,264,311,376,145,231,70,31,39,7,1,6,8,-,8
101學年,藝術學門,1160,586,574,328,186,142,352,166,186,304,150,154,118,55,63,46,28,18,12,1,11
101學年,人文學門,4402,1942,2460,775,472,303,1344,551,793,1462,609,853,717,263,454,71,39,32,33,8,25
101學年,設計學門,1475,1043,432,123,107,16,319,256,63,519,342,177,376,228,148,136,108,28,2,2,-
101學年,社會及行為科學學門,1834,1215,619,559,411,148,658,442,216,563,341,222,31,15,16,9,6,3,14,-,14
101學年,傳播學門,690,412,278,116,66,50,216,130,86,228,134,94,86,48,38,40,34,6,4,-,4
101學年,商業及管理學門,6222,3934,2288,1038,853,185,2055,1349,706,2127,1285,842,918,403,515,58,42,16,26,2,24
