學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士直轄市立計,副學士直轄市立男,副學士直轄市立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士直轄市立計,二年制學士直轄市立男,二年制學士直轄市立女,四年制學士總計計,四年制學士總計男,四年制學士總計女,四年制學士國立計,四年制學士國立男,四年制學士國立女,四年制學士直轄市立計,四年制學士直轄市立男,四年制學士直轄市立女
99學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2505,1246,1259,2505,1246,1259,-,-,-,1622,369,1253,1622,369,1253,-,-,-,2426,800,1626,1925,523,1402,501,277,224
98學年,臺北市,667,214,453,667,214,453,-,-,-,772,165,607,772,165,607,-,-,-,-,-,-,-,-,-,-,-,-
98學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,501,277,224,-,-,-,501,277,224
98學年,臺北縣,928,718,210,928,718,210,-,-,-,-,-,-,-,-,-,-,-,-,1925,523,1402,1925,523,1402,-,-,-
98學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
